location_name,gbd_ow,gbd_ow_lci,gbd_ow_uci,gbd_ob,gbd_ob_lci,gbd_ob_uci
Alabama,28.3689178,26.790162499999997,30.1883921,50.8425871,49.0106171,52.637023500000005
Alaska,30.613643000000003,28.696123800000002,32.6408412,44.7041119,42.5191088,46.8666526
Arizona,31.3704537,29.624471800000002,32.9853545,43.8848921,41.6488214,46.0134429
Arkansas,27.470363199999998,25.7478791,29.3358646,50.7295234,48.7661058,52.5873689
California,32.5385154,30.9517384,34.231608200000004,40.0276495,37.8837356,41.9387492
Colorado,32.9392582,31.3137541,34.5397901,36.8437436,34.4167835,38.8091504
Connecticut,31.778378,30.141259199999997,33.4727327,42.6810703,40.545529,44.6256324
Delaware,29.477288400000003,27.6140092,31.405316,47.694388599999996,45.505057199999996,49.706764199999995
District of Columbia,29.760927300000002,27.771405100000003,31.7441525,37.2596661,34.994477,39.2910372
Florida,32.0838898,30.528688199999998,33.6955243,41.273835399999996,39.5041038,43.226641300000004
Georgia,29.359895899999998,27.8619753,31.0419078,47.3988265,45.308286800000005,49.2414731
Hawaii,31.860669800000004,30.1667818,33.4788702,36.8015988,34.9053877,38.5865449
Idaho,31.6540194,29.8543263,33.637028,43.6478481,41.9493454,45.7128082
Illinois,29.980403900000002,28.5023156,31.635959600000003,46.6355016,44.8018718,48.412809
Indiana,28.341668399999996,26.927470399999997,29.860020799999997,49.5946524,47.7093394,51.4055601
Iowa,29.0256833,27.328644699999998,30.804119800000002,50.4300965,48.4266572,52.224180200000006
Kansas,28.9366212,27.4920198,30.5680872,49.5089139,47.449731299999996,51.1590623
Kentucky,27.6357754,26.1063603,29.3654612,50.7705136,48.816019100000005,52.667289
Louisiana,28.2344137,26.7260359,29.8498619,50.574568799999994,48.653098,52.3396053
Maine,30.6784935,29.2117756,32.339578,44.6341689,42.7117831,46.5010246
Maryland,30.191587199999997,28.5631168,32.0288639,46.2767622,44.4838988,47.962209
Massachusetts,32.276457,30.404221999999997,34.0102497,39.4083988,37.9572809,41.1918539
Michigan,29.674385599999997,28.183460500000002,31.2766271,48.3753349,46.5558318,49.9808513
Minnesota,31.222027200000003,29.4913853,32.9106735,44.654832,42.5852827,46.5268153
Mississippi,27.839964699999996,26.311369099999997,29.3892363,52.0802451,50.3527626,53.786388699999996
Missouri,28.8212538,27.296831500000003,30.494980599999998,48.5490092,46.672657099999995,50.3277195
Montana,32.2944131,30.3665916,34.2023855,41.9534829,39.6741999,44.0645473
Nebraska,30.012017,28.5249058,31.629000899999998,49.3061566,47.2138192,51.1266816
Nevada,32.8808427,31.0764869,34.8088061,42.1363733,39.7322195,44.3846908
New Hampshire,31.449716900000002,29.7408717,33.3295064,43.652060399999996,41.1921697,45.753295900000005
New Jersey,33.0599971,31.2219724,34.9242603,41.111607500000005,39.2302535,42.8615586
New Mexico,31.118436,29.5951219,32.804400799999996,44.944812899999995,42.8528519,46.8709142
New York,32.279248700000004,30.7769532,33.838548,40.2650309,38.6539552,42.109913999999996
North Carolina,29.8575722,28.2871483,31.516556499999997,47.6482945,45.8161165,49.227198900000005
North Dakota,30.2093371,28.4233686,32.1160224,48.7151782,46.2580643,50.9136818
Ohio,28.5474686,27.1165074,30.2148232,49.9760257,48.0989949,51.688375
Oklahoma,28.6520846,27.046513,30.234438400000002,50.298587,48.1302526,52.2844914
Oregon,31.2279723,29.6847097,32.7913796,42.7612241,40.7627129,44.743738
Pennsylvania,30.4181649,28.9379037,31.887036400000003,46.109273,44.2257053,47.7549141
Rhode Island,31.8093175,29.9306838,33.609670200000004,43.4476242,41.3847409,45.40773
South Carolina,28.779671,27.3084502,30.4198718,48.8810074,46.8358512,50.72953
South Dakota,30.7890398,29.1582824,32.766973300000004,46.7742657,44.3947507,48.8225113
Tennessee,29.6854387,28.1518043,31.2628256,47.7717952,45.7736377,49.6240044
Texas,29.512585800000004,27.9482871,31.2189461,48.721621999999996,46.7445803,50.601231999999996
Utah,30.756799899999997,28.983477,32.4309794,43.244017400000004,40.921549299999995,45.289641800000005
Vermont,30.555092700000003,28.9781154,32.3313747,41.361009700000004,39.293547000000004,43.3230689
Virginia,30.415903399999998,28.930665700000002,31.9634102,46.4422975,44.5372581,48.3340452
Washington,32.108143500000004,30.4251989,33.8821211,41.5105031,39.4380635,43.4703911
West Virginia,27.2131817,25.4930235,29.033533,52.887367600000005,51.0107791,54.5728836
Wisconsin,30.785808799999998,29.2204249,32.554228099999996,46.694766,44.7281323,48.4327153
Wyoming,31.9956454,30.1912131,33.8232562,43.0661953,40.864408600000004,45.1594659
